,Employee Name,ID,Gender,Age,Married,Role,Salary,Position,Absences,Projects_Completed,Mean Monthly Hours,Years in the company,Joining_Year,Current_Employ_Rating,Moral,Stress & Burnout Score,Ongoing_Project_Count,Projects_Within_Deadline,Project_Start_Date,Project_Description,Project_Difficulty,Project_Deadline,Manager_ID,Completion_Time
0,Ram Prasad,1,Male,34,Married,Backend Developer,"2,60,000",Senior,2,42,143,5,2015,9,Very High,3,3,22,5/2/2024,Design an efficient algorithm for data processing and visualization,High,15/3/2024,4,37
1,Neeraj Joshi,2,Male,58,Married,Backend Developer,"3,00,000",Senior,8,50,201,17,2003,5,High,1,4,59,19/06/2022,Develop a secure user registration and login system,High,10/07/2022,4,16
2,Shilpa Pathak,3,Female,41,Married,Backend Developer,"3,00,000",Senior,10,68,198,16,2004,7,Very High,2,5,24,5/6/2023,Design and implement database structure for maintaining user login information,High,15/7/2023,4,38
3,Radhika Khanna,4,Female,34,Married,HR,"1,10,000",Senior,6,23,201,12,2011,8,High,1,4,8,20/10/2023,Develop and implement employee wellness programs and ensure employee wellbeing,Medium,26/10/2023,2,4
4,Anjali Rana,5,Female,25,Married,HR,"1,20,000",Junior,1,22,145,1,2020,9,High,5,1,8,16/7/2023,Working with Line Managers to implement and evaluate new employee engagement initiatives,Medium,24/8/2023,2,36
5,Neeraj Khandelwal,6,Male,32,Married,Backend Developer,"2,10,000",Senior,8,56,146,7,2017,6,Very High,3,4,45,10/7/2023,Develop a secure user authentication system that integrates all access permissions and authenticate user login,High,22/7/2023,4,8
6,Nandini Singh,7,Female,37,Married,HR,"1,25,000",Senior,8,37,100,16,2009,7,High,4,3,19,5/1/2024,Develop innovative and data-driven solutions to reduce operational costs,Medium,1/3/2024,2,55
7,Tanvi Prasad,8,Female,43,Married,HR,"1,20,000",Senior,2,51,251,11,2011,7,High,2,2,25,8/5/2023,Create a recruitment strategy for sourcing and onboarding new talent,Medium,20/6/2023,2,45
8,Tarun Mathur,9,Male,30,Married,HR,"2,00,000",Senior,6,64,145,12,2012,8,High,3,4,40,5/7/2023,Develop a comprehensive workflow system to automate routine tasks,High,10/10/2023,2,90
9,Amy Narang,10,Female,30,Married,Backend Developer,"2,50,000",Senior,3,48,181,11,2012,10,Very High,1,2,64,27/8/2023,Design an algorithm to predict user behavior on the platform,High,8/9/2023,4,7
10,Archana Joshi,11,Female,32,Married,HR,"1,30,000",Senior,1,19,210,7,2015,7,Moderate,4,5,21,23/7/2023,Manage weekly reports and analysis to assess the performance of the team,Medium,28/7/2023,2,5
11,Hemant Raj,12,Male,57,Married,HR,"1,10,000",Senior,6,36,156,11,2009,6,High,2,4,17,11/11/2022,Coordinate with the HR team to design team building activities that promote creativity and boost morale,Low,18/11/2022,2,4
12,Abhinav Kumar,13,Male,44,Married,Backend Developer,"3,50,000",Senior,5,66,224,19,2001,7,High,1,4,38,2/11/2023,Develop a secure user registration and login system with additional features to improve usability,High,9/11/2023,4,3
13,Kamilla Roy,14,Female,39,Married,HR,"1,50,000",Senior,7,28,210,10,2013,7,Moderate,3,3,4,7/7/2023,Develop metrics to measure the success and progress of the Sales and Marketing team,Medium,24/8/2023,2,50
14,Amala Shukla,15,Female,33,Married,HR,"1,50,000",Senior,7,25,252,9,2013,7,High,3,2,25,20/9/2023,Perform performance reviews for the development team and ensure availability of development and training resources,High,30/10/2023,2,36
